brand;name;product_type;shade;price;old_price;url;image_url;r;g;b;hex
Bourjois;Healthy mix clean & vegan serum;Тональная сыворотка для лица;;1097;1591;https://goldapple.ru/19000239373-healthy-mix-serum;https://pcdn.goldapple.ru/p/p/19000239373/web/746f6e658ddc56c8b4fabe4.jpg;231;191;155;#e7bf9b
Bourjois;Healthy mix clean & vegan serum;Тональная сыворотка для лица;;1097;1591;https://goldapple.ru/19000239373-healthy-mix-serum;https://pcdn.goldapple.ru/p/p/19000239372/web/746f6e658ddc56c8b499bb9.jpg;241;209;184;#f1d1b8
Bourjois;Healthy mix clean & vegan serum;Тональная сыворотка для лица;;1097;1591;https://goldapple.ru/19000239373-healthy-mix-serum;https://pcdn.goldapple.ru/p/p/19000239374/web/746f6e658ddc56c8f0f7cd2.jpg;235;200;170;#ebc8aa
Rimmel;MultiTasker Better Than Filters;Многофункциональная тональная основа для лица;;710;1341;https://goldapple.ru/19000313808-multitasker-better-than-filters;https://pcdn.goldapple.ru/p/p/19000313808/web/746f6e658ddc5b96f17ed75.jpg;196;148;126;#c4947e
Rimmel;MultiTasker Better Than Filters;Многофункциональная тональная основа для лица;;710;1341;https://goldapple.ru/19000313808-multitasker-better-than-filters;https://pcdn.goldapple.ru/p/p/19000313804/web/746f6e658ddc5b96fa8b8f4.jpg;211;162;122;#d3a27a
Rimmel;MultiTasker Better Than Filters;Многофункциональная тональная основа для лица;;710;1341;https://goldapple.ru/19000313808-multitasker-better-than-filters;https://pcdn.goldapple.ru/p/p/19000313805/web/746f6e658ddc5b96e6c2bbe.jpg;192;151;121;#c09779
B.COLOUR PROFESSIONAL;увлажняющий;СС крем для лица 3в1;;688;1229;https://goldapple.ru/19000197991-b-colour-pro-capsule;https://pcdn.goldapple.ru/p/p/19000197991/web/746f6e658ddc55a915f2cdc.jpg;220;192;178;#dcc0b2
B.COLOUR PROFESSIONAL;увлажняющий;СС крем для лица 3в1;;688;1229;https://goldapple.ru/19000197991-b-colour-pro-capsule;https://pcdn.goldapple.ru/p/p/19000197992/web/746f6e658ddc55a918b6dc5.jpg;222;178;151;#deb297
JANE IREDALE;Skintuition radiance-boosting liquid foundation;Тональный флюид для лица SPF 30;;6096;7620;https://goldapple.ru/19000434978-skintuition-radiance-boosting-liquid-foundation;https://pcdn.goldapple.ru/p/p/19000434978/web/746f6e655f34303531633963626334656134636238623363373033373762373933623235638de6fc32c5e0ba8.jpg;223;150;95;#df965f
JANE IREDALE;Skintuition radiance-boosting liquid foundation;Тональный флюид для лица SPF 30;;6096;7620;https://goldapple.ru/19000434978-skintuition-radiance-boosting-liquid-foundation;https://pcdn.goldapple.ru/p/p/19000434965/web/746f6e655f66356465383833303463353734346236613738363866333466306162373161618de6fc2df6c0ea8.jpg;243;209;174;#f3d1ae
JANE IREDALE;Skintuition radiance-boosting liquid foundation;Тональный флюид для лица SPF 30;;6096;7620;https://goldapple.ru/19000434978-skintuition-radiance-boosting-liquid-foundation;https://pcdn.goldapple.ru/p/p/19000434966/web/746f6e655f37656662663630636163616334663639383062353462626663383632386465638de6fe0713ebe65.jpg;246;196;163;#f6c4a3
LUXVISAGE;CC Active complex;Крем тональный SPF10;;347;497;https://goldapple.ru/19000053850-cc-active-complex;https://pcdn.goldapple.ru/p/p/19000053850/web/746f6e658ddc4c48b4236dd.jpg;235;220;201;#ebdcc9
LUXVISAGE;CC Active complex;Крем тональный SPF10;;347;497;https://goldapple.ru/19000053850-cc-active-complex;https://pcdn.goldapple.ru/p/p/19000053851/web/746f6e658ddc4c4e99d5e93.jpg;240;222;200;#f0dec8
LUXVISAGE;CC Active complex;Крем тональный SPF10;;347;497;https://goldapple.ru/19000053850-cc-active-complex;https://pcdn.goldapple.ru/p/p/19000053852/web/746f6e658ddc4c4ea7b9634.jpg;244;219;199;#f4dbc7
3INA;The 3in1 Foundation;Тональный крем SPF 15;;672;2243;https://goldapple.ru/19000156270-the-3in1-foundation;https://pcdn.goldapple.ru/p/p/19000156270/web/746f6e658ddc53abc3394d8.jpg;211;150;85;#d39655
3INA;The 3in1 Foundation;Тональный крем SPF 15;;672;2243;https://goldapple.ru/19000156270-the-3in1-foundation;https://pcdn.goldapple.ru/p/p/19000112378/web/746f6e658ddc53ab31b8089.jpg;231;206;175;#e7ceaf
3INA;The 3in1 Foundation;Тональный крем SPF 15;;672;2243;https://goldapple.ru/19000156270-the-3in1-foundation;https://pcdn.goldapple.ru/p/p/19000112380/web/746f6e658ddc53b015ddc83.jpg;214;172;134;#d6ac86
FOR ME by gold apple;Cushion SPF 50/PA++++;Кушон для лица тональный;;1440;1600;https://goldapple.ru/19000390075-cushion-spf-50-pa;https://pcdn.goldapple.ru/p/p/19000390075/web/746f6e655f37333530366131393663386534663765623535363864393831303862636163618de1dc47fabf639.jpg;228;184;149;#e4b895
FOR ME by gold apple;Cushion SPF 50/PA++++;Кушон для лица тональный;;1440;1600;https://goldapple.ru/19000390075-cushion-spf-50-pa;https://pcdn.goldapple.ru/p/p/19000390076/web/746f6e655f32333761353635373034323234303634626134336564646433323337323034668de1dc4800d7447.jpg;224;171;131;#e0ab83
FOR ME by gold apple;Cushion SPF 50/PA++++;Кушон для лица тональный;;1440;1600;https://goldapple.ru/19000390075-cushion-spf-50-pa;https://pcdn.goldapple.ru/p/p/19000390077/web/746f6e655f66356339323061613535643834396139383062383366663035363062626630338de1dc4809e4a06.jpg;222;161;117;#dea175
WAKEMAKE;Seamless wear foundation;Тональный крем для лица;;3477;6818;https://goldapple.ru/19000434374-seamless-wear-foundation;https://pcdn.goldapple.ru/p/p/19000434374/web/746f6e655f65323431323332613233333434353461396337336336643263356234613230398ddd8c612b39122.jpg;240;197;152;#f0c598
WAKEMAKE;Seamless wear foundation;Тональный крем для лица;;3477;6818;https://goldapple.ru/19000434374-seamless-wear-foundation;https://pcdn.goldapple.ru/p/p/19000434372/web/746f6e655f65633337663264333838646234623639626431303462623661373834336263378ddd8c614a82cc8.jpg;245;204;152;#f5cc98
WAKEMAKE;Seamless wear foundation;Тональный крем для лица;;3477;6818;https://goldapple.ru/19000434374-seamless-wear-foundation;https://pcdn.goldapple.ru/p/p/19000434373/web/746f6e655f33633766626637346533316534346236613631336537326330653964633564658ddd8c61231fe45.jpg;240;193;137;#f0c189
Lic;Soft Velvet;Тональный крем для лица;;1511;2256;https://goldapple.ru/19000063388-soft-velvet;https://pcdn.goldapple.ru/p/p/19000063388/web/746f6e658ddc4d7615bb401.jpg;229;192;163;#e5c0a3
